months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
102,71,IN,250/500,500,948.76,0,FEMALE,PhD,tech-support,movies,husband,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,6,1,YES,0,0,YES,91814.84,19466.02,11408.63,60940.19,Nissan,1995,Y
435,30,IL,250/500,2000,657.82,0,FEMALE,College,other-service,chess,not-in-family,34468,0,Multi-vehicle Collision,Side Collision,Trivial Damage,Ambulance,PA,Springfield,2,4,?,0,3,YES,93074.64,21973.34,24995.04,46106.26,BMW,2012,Y
348,36,OH,100/300,2000,1959.66,0,FEMALE,PhD,transport-moving,movies,other-relative,0,0,Single Vehicle Collision,Front Collision,Minor Damage,None,PA,Northbend,7,3,NO,0,0,YES,32879.77,3652.52,4143.91,25083.34,BMW,2007,N
270,46,OH,250/500,2000,1495.95,0,FEMALE,MD,armed-forces,camping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Hillsdale,9,4,NO,0,1,?,65050.75,10126.58,7147.84,47776.33,Accura,2006,N
106,20,IN,250/500,500,2092.55,0,MALE,PhD,machine-op-inspct,movies,wife,0,-18650,Single Vehicle Collision,Side Collision,Major Damage,Fire,WV,Columbus,8,3,NO,0,1,?,48329.49,13467.09,7733.26,27129.14,Ford,2012,N
71,43,OH,500/1000,500,1827.89,0,FEMALE,College,armed-forces,camping,own-child,0,-75670,Single Vehicle Collision,?,Major Damage,Ambulance,OH,Springfield,0,2,?,2,3,?,88993.91,17896.27,11867.17,59230.47,Dodge,1999,N
188,57,IN,100/300,500,1959.61,0,FEMALE,MD,armed-forces,movies,other-relative,58327,-26267,Multi-vehicle Collision,?,Minor Damage,Fire,NC,Northbend,21,4,YES,0,2,NO,62666.21,9926.44,13027.01,39712.76,Nissan,2006,N
20,29,IN,100/300,500,1114.72,0,FEMALE,MD,armed-forces,exercise,own-child,95285,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Springfield,23,1,NO,0,3,NO,105198.6,11566.2,12144.79,81487.61,Chevrolet,2017,Y
102,19,OH,500/1000,500,1026.55,0,MALE,PhD,craft-repair,exercise,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NC,Northbend,14,1,YES,1,2,NO,108895.61,29242.9,13655.37,65997.34,Mercedes,2004,N
121,28,OH,250/500,1000,1701.75,0,FEMALE,High School,priv-house-serv,camping,own-child,0,-26735,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Riverview,1,2,NO,1,2,NO,8586.02,1826.39,2140.84,4618.79,Suburu,2013,N
466,61,OH,500/1000,2000,900.16,0,MALE,MD,sales,base-jumping,unmarried,41434,0,Parked Car,Front Collision,Total Loss,Other,SC,Riverview,19,4,YES,2,2,YES,35536.75,3633.02,10131.78,21771.95,Volkswagen,2010,N
214,45,IL,100/300,1000,2130.82,0,FEMALE,High School,exec-managerial,sleeping,own-child,0,0,Parked Car,Front Collision,Total Loss,None,NC,Hillsdale,12,1,?,2,3,NO,7487.13,765.93,1438.5,5282.7,Toyota,2011,N
330,35,IN,500/1000,2000,1545.84,0,MALE,MD,other-service,sleeping,wife,0,0,Parked Car,?,Trivial Damage,Other,PA,Arlington,1,3,NO,2,1,NO,6704.31,952.98,1669.41,4081.92,Chevrolet,2001,N
458,30,OH,100/300,1000,953.98,0,MALE,College,transport-moving,cross-fit,other-relative,67319,0,Parked Car,?,Minor Damage,Fire,WV,Springfield,6,4,?,2,0,NO,89027.69,10779.11,19124.02,59124.56,Dodge,2008,N
87,54,IL,500/1000,500,1750.34,0,MALE,JD,machine-op-inspct,reading,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,None,NY,Springfield,14,3,NO,1,3,?,40982.09,6409.57,7175.88,27396.64,Dodge,1995,N
372,39,OH,250/500,2000,2390.07,5000000,MALE,Associate,machine-op-inspct,camping,unmarried,0,-29401,Single Vehicle Collision,Front Collision,Major Damage,Fire,WV,Springfield,11,3,?,1,2,?,43691.47,12500.32,11388.76,19802.39,Saab,2019,N
